Round Number,Date,Location,Home Team,Away Team,Group,Result
1,07/04/2018 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,,
1,08/04/2018 16:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,,
1,08/04/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,,
1,09/04/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,,
1,10/04/2018 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,,
1,11/04/2018 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Daredevils,,
1,12/04/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,,
1,13/04/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kings XI Punjab,,
2,14/04/2018 16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,,
2,14/04/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,,
2,15/04/2018 16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,,
2,15/04/2018 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,,
2,16/04/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,,
2,17/04/2018 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,,
2,18/04/2018 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,,
2,19/04/2018 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,,
2,20/04/2018 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,,
3,21/04/2018 16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Kings XI Punjab,,
3,21/04/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Daredevils,,
3,22/04/2018 16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,,
3,22/04/2018 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,,
3,23/04/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Kings XI Punjab,,
3,24/04/2018 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,,
3,25/04/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,,
3,26/04/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,,
3,27/04/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Kolkata Knight Riders,,
4,28/04/2018 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,,
4,29/04/2018 16:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,,
4,29/04/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,,
4,30/04/2018 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,,
4,01/05/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,,
4,02/05/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Rajasthan Royals,,
4,03/05/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,,
4,04/05/2018 20:00,"Holkar Cricket Stadium, Indore",Kings XI Punjab,Mumbai Indians,,
5,05/05/2018 16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Royal Challengers Bangalore,,
5,05/05/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Daredevils,,
5,06/05/2018 16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,,
5,06/05/2018 20:00,"Holkar Cricket Stadium, Indore",Kings XI Punjab,Rajasthan Royals,,
5,07/05/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,,
5,08/05/2018 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kings XI Punjab,,
5,09/05/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,,
5,10/05/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Sunrisers Hyderabad,,
5,11/05/2018 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,,
6,12/05/2018 16:00,"Holkar Cricket Stadium, Indore",Kings XI Punjab,Kolkata Knight Riders,,
6,12/05/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Royal Challengers Bangalore,,
6,13/05/2018 16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,,
6,13/05/2018 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,,
6,14/05/2018 20:00,"Holkar Cricket Stadium, Indore",Kings XI Punjab,Royal Challengers Bangalore,,
6,15/05/2018 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,,
6,16/05/2018 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,,
6,17/05/2018 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,,
6,18/05/2018 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Chennai Super Kings,,
7,19/05/2018 16:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bangalore,,
7,19/05/2018 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,,
7,20/05/2018 16:00,"Feroz Shah Kotla Ground, Delhi",Delhi Daredevils,Mumbai Indians,,
7,20/05/2018 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kings XI Punjab,,
Preliminary Finals,22/05/2018 19:00,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Chennai Super Kings,Qualifier 1,
Preliminary Finals,23/05/2018 19:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Eliminator,
Qualifier 2,25/05/2018 19:00,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,,
Final,27/05/2018 19:00,"Wankhede Stadium, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,,
